word,coefficient,period,direction
planning competition,2.0049236755722477,2007-2011,positive
web services,1.749023213123257,2007-2011,positive
language resources,1.7239065109515457,2007-2011,positive
global constraints,1.6338521941168576,2007-2011,positive
article presents,1.5697233951545133,2007-2011,positive
symmetry breaking,1.524332734543658,2007-2011,positive
information system,1.486433155602109,2007-2011,positive
adding new,1.4771599059485836,2007-2011,positive
recognition system,1.4754949572219898,2007-2011,positive
system capable,1.4701226818112108,2007-2011,positive
social network,1.439700835513307,2007-2011,positive
provide formal,1.4266446639083898,2007-2011,positive
logic programs,1.4170795545185575,2007-2011,positive
may also,1.3871676053500468,2007-2011,positive
local search,1.3601604298896595,2007-2011,positive
deep learning,-2.5378204952769647,2007-2011,negative
word embeddings,-1.7483359987395373,2007-2011,negative
neural network,-1.7036789634169072,2007-2011,negative
widely used,-1.6312820773421788,2007-2011,negative
deep neural,-1.6278142080318208,2007-2011,negative
sentiment analysis,-1.6217884657880686,2007-2011,negative
end end,-1.5479949645744693,2007-2011,negative
neural networks,-1.5028066391368853,2007-2011,negative
reinforcement learning,-1.490655387868502,2007-2011,negative
training data,-1.4721022312177148,2007-2011,negative
social media,-1.388205473124837,2007-2011,negative
machine translation,-1.3380847709903092,2007-2011,negative
language models,-1.3261161898649023,2007-2011,negative
question answering,-1.2711894024312747,2007-2011,negative
recurrent neural,-1.2103402440035718,2007-2011,negative
bayesian networks,2.0614050307865113,2012-2016,positive
possibility theory,2.0386920320627864,2012-2016,positive
influence diagram,1.9666283214551992,2012-2016,positive
recurrent neural,1.965365111517852,2012-2016,positive
belief networks,1.878291849501595,2012-2016,positive
influence diagrams,1.7727845251011134,2012-2016,positive
rough sets,1.7017759890386075,2012-2016,positive
bayesian network,1.697962059028142,2012-2016,positive
possibilistic logic,1.5207165863204783,2012-2016,positive
part speech,1.5134984486930652,2012-2016,positive
uncertainty artificial,1.499181891434174,2012-2016,positive
neural translation,1.4297048347235515,2012-2016,positive
conditional independence,1.4198807045574757,2012-2016,positive
decision theoretic,1.4155827966359267,2012-2016,positive
statistical machine,1.4147899891198639,2012-2016,positive
pre trained,-2.203286052907082,2012-2016,negative
graph neural,-2.0261583173723876,2012-2016,negative
federated learning,-1.8826346690748115,2012-2016,negative
self attention,-1.8270301667843245,2012-2016,negative
fine tuning,-1.7272170340357187,2012-2016,negative
data augmentation,-1.7197828222521931,2012-2016,negative
code available,-1.7077700192684238,2012-2016,negative
meta learning,-1.4984898370013227,2012-2016,negative
covid 19,-1.4848270398124725,2012-2016,negative
adversarial training,-1.4557672679674625,2012-2016,negative
transformer model,-1.3642288765171011,2012-2016,negative
low resource,-1.3400684096598456,2012-2016,negative
graph convolutional,-1.3362324671704076,2012-2016,negative
text generation,-1.3322306842533918,2012-2016,negative
transformer models,-1.3287692510032887,2012-2016,negative
pre trained,3.304534611172086,2017-2021,positive
deep learning,3.2751296331821362,2017-2021,positive
graph neural,2.6211960876853966,2017-2021,positive
federated learning,2.548777291021939,2017-2021,positive
data augmentation,2.390648600165167,2017-2021,positive
self attention,2.360433567513239,2017-2021,positive
language models,2.307864359285576,2017-2021,positive
code available,2.2414921601176023,2017-2021,positive
low resource,2.2315296193994687,2017-2021,positive
neural networks,2.2193081164020594,2017-2021,positive
fine tuning,2.208798839912446,2017-2021,positive
reinforcement learning,2.08026218761218,2017-2021,positive
meta learning,2.0710802075748536,2017-2021,positive
end end,1.9632616864372252,2017-2021,positive
covid 19,1.9544495667004338,2017-2021,positive
data mining,-1.8310142847262578,2017-2021,negative
planning competition,-1.572467034752673,2017-2021,negative
knowledge domain,-1.5025309668974862,2017-2021,negative
recognition system,-1.4788675346007258,2017-2021,negative
possibility theory,-1.4766197533790477,2017-2021,negative
learning problems,-1.4611732301760736,2017-2021,negative
logic programming,-1.4066394346417708,2017-2021,negative
influence diagram,-1.3934971591411132,2017-2021,negative
global constraints,-1.391286587364576,2017-2021,negative
network language,-1.382515513009707,2017-2021,negative
order magnitude,-1.375783778029467,2017-2021,negative
genetic algorithms,-1.3684755628367264,2017-2021,negative
probabilistic inference,-1.366562823341336,2017-2021,negative
conditional independence,-1.3424283987958923,2017-2021,negative
also prove,-1.33988084119097,2017-2021,negative
