x,y,year,period,representation
-0.35848022,0.16708183,2007,2007-2011,SBERT MiniLM
-0.402383,-0.31894398,2007,2007-2011,SBERT MiniLM
-0.05266078,-0.05347615,2007,2007-2011,SBERT MiniLM
-0.22609444,0.073692635,2007,2007-2011,SBERT MiniLM
-0.26287234,-0.15897861,2007,2007-2011,SBERT MiniLM
-0.16098535,0.2568018,2007,2007-2011,SBERT MiniLM
0.1985258,-0.29985452,2007,2007-2011,SBERT MiniLM
-0.24844445,0.12656489,2007,2007-2011,SBERT MiniLM
-0.2019472,0.03843476,2007,2007-2011,SBERT MiniLM
-0.41465828,0.17218038,2007,2007-2011,SBERT MiniLM
-0.30263686,-0.22140595,2007,2007-2011,SBERT MiniLM
-0.32655486,-0.06819992,2007,2007-2011,SBERT MiniLM
-0.23465733,0.03943318,2007,2007-2011,SBERT MiniLM
-0.2841586,0.026696056,2007,2007-2011,SBERT MiniLM
-0.11350039,0.017891556,2007,2007-2011,SBERT MiniLM
-0.5043668,-0.13193502,2007,2007-2011,SBERT MiniLM
-0.4408579,0.12220751,2007,2007-2011,SBERT MiniLM
-0.1583074,0.05699718,2007,2007-2011,SBERT MiniLM
-0.20740479,0.066536576,2007,2007-2011,SBERT MiniLM
-0.24892212,-0.08816728,2007,2007-2011,SBERT MiniLM
-0.19062945,0.052849233,2007,2007-2011,SBERT MiniLM
-0.36424872,-0.018103853,2007,2007-2011,SBERT MiniLM
-0.27023742,-0.13318211,2007,2007-2011,SBERT MiniLM
-0.109388106,-0.29575622,2007,2007-2011,SBERT MiniLM
0.093900576,-0.37443057,2007,2007-2011,SBERT MiniLM
-0.25633654,-0.3295705,2007,2007-2011,SBERT MiniLM
-0.18141943,-0.26505372,2007,2007-2011,SBERT MiniLM
-0.23874325,0.10539991,2007,2007-2011,SBERT MiniLM
0.22301613,-0.39039853,2007,2007-2011,SBERT MiniLM
-0.46614915,0.01457274,2007,2007-2011,SBERT MiniLM
0.28092724,-0.39184734,2007,2007-2011,SBERT MiniLM
0.04522109,-0.4319744,2007,2007-2011,SBERT MiniLM
-0.18592654,0.23718357,2007,2007-2011,SBERT MiniLM
-0.18387613,0.018659346,2007,2007-2011,SBERT MiniLM
-0.22921075,0.1846877,2007,2007-2011,SBERT MiniLM
-0.40755615,0.0048455074,2007,2007-2011,SBERT MiniLM
-0.15743881,-0.278019,2007,2007-2011,SBERT MiniLM
-0.5023798,-0.031080894,2007,2007-2011,SBERT MiniLM
-0.41503987,-0.09222852,2007,2007-2011,SBERT MiniLM
-0.29818892,-0.03829652,2007,2007-2011,SBERT MiniLM
-0.29201844,-0.3107307,2007,2007-2011,SBERT MiniLM
-0.19786316,-0.3163275,2007,2007-2011,SBERT MiniLM
-0.19453815,-0.32879627,2007,2007-2011,SBERT MiniLM
-0.26168272,-0.121910244,2007,2007-2011,SBERT MiniLM
0.20755003,-0.19755605,2007,2007-2011,SBERT MiniLM
-0.4075411,-0.070003286,2007,2007-2011,SBERT MiniLM
-0.47140074,-0.11768137,2007,2007-2011,SBERT MiniLM
-0.501577,-0.096337155,2007,2007-2011,SBERT MiniLM
0.073951915,-0.38091245,2007,2007-2011,SBERT MiniLM
-0.33328235,0.1152799,2007,2007-2011,SBERT MiniLM
-0.102345265,-0.30848634,2007,2007-2011,SBERT MiniLM
-0.08864654,-0.39218888,2007,2007-2011,SBERT MiniLM
-0.32464984,0.07994507,2007,2007-2011,SBERT MiniLM
-0.25674027,0.17109764,2007,2007-2011,SBERT MiniLM
-0.083804615,-0.22642031,2007,2007-2011,SBERT MiniLM
