x,y,year,period,representation
-0.31707692,-0.28335544,2007,2007-2011,SBERT MPNet
-0.43005794,0.20019567,2007,2007-2011,SBERT MPNet
-0.18076664,0.11538543,2007,2007-2011,SBERT MPNet
-0.2833119,-0.059864923,2007,2007-2011,SBERT MPNet
-0.27678338,0.079627074,2007,2007-2011,SBERT MPNet
-0.2092042,-0.21547413,2007,2007-2011,SBERT MPNet
-0.02306436,0.3221509,2007,2007-2011,SBERT MPNet
-0.34878033,-0.103635214,2007,2007-2011,SBERT MPNet
-0.30214864,-0.0635237,2007,2007-2011,SBERT MPNet
-0.2856516,-0.02512493,2007,2007-2011,SBERT MPNet
-0.379353,0.18928951,2007,2007-2011,SBERT MPNet
-0.3044067,-0.036833234,2007,2007-2011,SBERT MPNet
-0.25779748,-0.038254313,2007,2007-2011,SBERT MPNet
-0.34060562,-0.1273225,2007,2007-2011,SBERT MPNet
-0.21130995,0.0095984265,2007,2007-2011,SBERT MPNet
-0.39071226,-0.029866211,2007,2007-2011,SBERT MPNet
-0.3920936,-0.14270315,2007,2007-2011,SBERT MPNet
-0.21195357,-0.03756178,2007,2007-2011,SBERT MPNet
-0.22618134,-0.116972335,2007,2007-2011,SBERT MPNet
-0.27255753,-0.007589355,2007,2007-2011,SBERT MPNet
-0.23853692,-0.02959662,2007,2007-2011,SBERT MPNet
-0.31906837,0.00040141493,2007,2007-2011,SBERT MPNet
-0.31259173,0.05647487,2007,2007-2011,SBERT MPNet
-0.21358494,0.360639,2007,2007-2011,SBERT MPNet
-0.016823158,0.45283967,2007,2007-2011,SBERT MPNet
-0.26726127,0.3693859,2007,2007-2011,SBERT MPNet
-0.31051016,0.22846928,2007,2007-2011,SBERT MPNet
-0.31376007,-0.16115099,2007,2007-2011,SBERT MPNet
0.027470395,0.45897153,2007,2007-2011,SBERT MPNet
-0.50121266,0.010288205,2007,2007-2011,SBERT MPNet
0.1629812,0.50779563,2007,2007-2011,SBERT MPNet
-0.07905619,0.49776053,2007,2007-2011,SBERT MPNet
-0.18572459,-0.21699387,2007,2007-2011,SBERT MPNet
-0.24257712,-0.044531994,2007,2007-2011,SBERT MPNet
-0.19481915,-0.16201508,2007,2007-2011,SBERT MPNet
