x,y,year,period,representation
-6.5392,-1.0936317,2007,2007-2011,SBERT Specter
-8.031823,2.9132497,2007,2007-2011,SBERT Specter
-3.7166836,1.5256289,2007,2007-2011,SBERT Specter
-4.311264,0.6310197,2007,2007-2011,SBERT Specter
-6.72489,3.4751534,2007,2007-2011,SBERT Specter
-2.8713393,-4.2607646,2007,2007-2011,SBERT Specter
1.9041356,3.571599,2007,2007-2011,SBERT Specter
-6.1090965,-2.2945757,2007,2007-2011,SBERT Specter
-4.791231,-1.5018567,2007,2007-2011,SBERT Specter
-2.451071,-3.1103148,2007,2007-2011,SBERT Specter
-6.301104,4.515852,2007,2007-2011,SBERT Specter
-5.4869967,1.8216499,2007,2007-2011,SBERT Specter
-4.5195627,-1.4328237,2007,2007-2011,SBERT Specter
-6.887808,-0.44374576,2007,2007-2011,SBERT Specter
-1.2746551,0.33461472,2007,2007-2011,SBERT Specter
-5.9810953,-1.2596205,2007,2007-2011,SBERT Specter
-5.4882793,-2.497643,2007,2007-2011,SBERT Specter
-3.8128886,-2.2277193,2007,2007-2011,SBERT Specter
-3.0866194,-4.6899385,2007,2007-2011,SBERT Specter
-6.0555067,-0.38228616,2007,2007-2011,SBERT Specter
-4.647194,-2.8742146,2007,2007-2011,SBERT Specter
-3.8869863,0.8747649,2007,2007-2011,SBERT Specter
-5.808954,0.48326918,2007,2007-2011,SBERT Specter
-3.2785215,3.844841,2007,2007-2011,SBERT Specter
-0.03184855,5.2730207,2007,2007-2011,SBERT Specter
-5.1644726,4.4340734,2007,2007-2011,SBERT Specter
-2.180637,2.3723657,2007,2007-2011,SBERT Specter
-4.681366,-1.1122718,2007,2007-2011,SBERT Specter
1.9902698,4.162673,2007,2007-2011,SBERT Specter
-6.9581017,-0.7769916,2007,2007-2011,SBERT Specter
3.812367,4.025896,2007,2007-2011,SBERT Specter
0.068816066,4.991373,2007,2007-2011,SBERT Specter
-5.2999024,-0.9453043,2007,2007-2011,SBERT Specter
-2.6467829,-2.1586778,2007,2007-2011,SBERT Specter
-5.256046,-1.8431802,2007,2007-2011,SBERT Specter
-4.904584,0.669847,2007,2007-2011,SBERT Specter
-0.16508102,1.8530577,2007,2007-2011,SBERT Specter
-4.3324246,0.3251972,2007,2007-2011,SBERT Specter
-5.2383094,-0.40950382,2007,2007-2011,SBERT Specter
-5.8935437,-0.6087958,2007,2007-2011,SBERT Specter
-6.3213024,6.0356026,2007,2007-2011,SBERT Specter
-5.36621,3.9370809,2007,2007-2011,SBERT Specter
-4.663132,6.3267193,2007,2007-2011,SBERT Specter
-3.6319914,1.0662369,2007,2007-2011,SBERT Specter
3.6290703,-0.12524155,2007,2007-2011,SBERT Specter
-7.764447,0.6806835,2007,2007-2011,SBERT Specter
-7.5276594,1.0700744,2007,2007-2011,SBERT Specter
-6.725335,-0.55701697,2007,2007-2011,SBERT Specter
-0.18778563,5.2641582,2007,2007-2011,SBERT Specter
-4.5439296,-0.9505677,2007,2007-2011,SBERT Specter
-1.9841305,1.9682635,2007,2007-2011,SBERT Specter
-3.8043234,5.209425,2007,2007-2011,SBERT Specter
-3.5834966,-4.167432,2007,2007-2011,SBERT Specter
-3.8267174,-1.4598144,2007,2007-2011,SBERT Specter
-3.8201365,4.138829,2007,2007-2011,SBERT Specter
3.5401497,8.058357,2007,2007-2011,SBERT Specter
-5.3081255,4.279045,2007,2007-2011,SBERT Specter
-6.408844,1.2312846,2007,2007-2011,SBERT Specter
-0.049057364,4.1590576,2007,2007-2011,SBERT Specter
1.922444,0.6971302,2007,2007-2011,SBERT Specter
4.2760625,-2.7946997,2007,2007-2011,SBERT Specter
4.723865,-1.6891686,2007,2007-2011,SBERT Specter
-4.918696,0.9217802,2007,2007-2011,SBERT Specter
-1.8298048,5.614254,2007,2007-2011,SBERT Specter
4.255133,5.4015226,2007,2007-2011,SBERT Specter
-3.8582826,5.893424,2007,2007-2011,SBERT Specter
2.2142582,4.7549624,2007,2007-2011,SBERT Specter
2.700554,2.3654652,2007,2007-2011,SBERT Specter
3.6289783,5.9318357,2007,2007-2011,SBERT Specter
0.3263744,3.587296,2007,2007-2011,SBERT Specter
1.3068637,4.2284803,2007,2007-2011,SBERT Specter
-5.997254,0.035304576,2007,2007-2011,SBERT Specter
0.88753474,5.901411,2007,2007-2011,SBERT Specter
1.5417358,3.2371593,2007,2007-2011,SBERT Specter
1.1242296,2.3014069,2007,2007-2011,SBERT Specter
-4.985083,2.257419,2007,2007-2011,SBERT Specter
0.4222337,6.2340355,2007,2007-2011,SBERT Specter
-4.7377734,-0.92868185,2007,2007-2011,SBERT Specter
-4.690086,-1.8302664,2007,2007-2011,SBERT Specter
-6.673119,-0.010511905,2007,2007-2011,SBERT Specter
-6.477582,3.5131893,2007,2007-2011,SBERT Specter
-3.671207,-1.0151352,2007,2007-2011,SBERT Specter
-5.1876345,-1.2530965,2007,2007-2011,SBERT Specter
-4.938239,0.1961216,2007,2007-2011,SBERT Specter
0.5254389,3.3505611,2007,2007-2011,SBERT Specter
-3.1328702,-1.0907798,2007,2007-2011,SBERT Specter
-4.2790613,1.2981795,2007,2007-2011,SBERT Specter
-1.9248015,5.3872995,2008,2007-2011,SBERT Specter
-3.7957914,-1.8768035,2008,2007-2011,SBERT Specter
-4.248479,-1.7003332,2008,2007-2011,SBERT Specter
-0.3466258,1.4280885,2008,2007-2011,SBERT Specter
-4.868237,0.58222353,2008,2007-2011,SBERT Specter
1.3938154,2.0350997,2008,2007-2011,SBERT Specter
-4.6897006,1.4181329,2008,2007-2011,SBERT Specter
-4.0345,-0.37504217,2008,2007-2011,SBERT Specter
-6.3513265,0.7912985,2008,2007-2011,SBERT Specter
1.8808597,1.8004044,2008,2007-2011,SBERT Specter
