keyword,score,period
support vector machine,14,2007-2011
natural language processing,12,2007-2011
machine learning,11,2007-2011
artificial intelligence,10,2007-2011
neural network,8,2007-2011
semantic web,8,2007-2011
stable model semantics,5,2007-2011
artificial neural network,4,2007-2011
machine translation,4,2007-2011
reproducing kernel hilbert space,4,2007-2011
bayesian network,74,2012-2016
natural language processing,66,2012-2016
artificial intelligence,63,2012-2016
recurrent neural network,57,2012-2016
machine learning,45,2012-2016
neural network,43,2012-2016
deep neural network,39,2012-2016
belief network,34,2012-2016
support vector machine,33,2012-2016
translation,29,2012-2016
natural language processing,416,2017-2021
deep neural network,297,2017-2021
neural network,270,2017-2021
recurrent neural network,205,2017-2021
bert,186,2017-2021
convolutional neural network,180,2017-2021
neural machine translation,177,2017-2021
machine learning,166,2017-2021
machine translation,150,2017-2021
word embeddings,135,2017-2021
