x,y,year,period,representation
-0.35848027,0.16708177,2007,2007-2011,SBERT MiniLM
-0.40238297,-0.3189441,2007,2007-2011,SBERT MiniLM
-0.052660733,-0.05347619,2007,2007-2011,SBERT MiniLM
-0.2260944,0.07369264,2007,2007-2011,SBERT MiniLM
-0.26287228,-0.15897861,2007,2007-2011,SBERT MiniLM
-0.16098535,0.2568019,2007,2007-2011,SBERT MiniLM
0.19852586,-0.29985443,2007,2007-2011,SBERT MiniLM
-0.24844444,0.12656492,2007,2007-2011,SBERT MiniLM
-0.20194715,0.038434766,2007,2007-2011,SBERT MiniLM
-0.41465822,0.17218038,2007,2007-2011,SBERT MiniLM
-0.30263683,-0.22140597,2007,2007-2011,SBERT MiniLM
-0.32655478,-0.06820002,2007,2007-2011,SBERT MiniLM
-0.23465732,0.039433144,2007,2007-2011,SBERT MiniLM
-0.28415862,0.026696078,2007,2007-2011,SBERT MiniLM
-0.11350039,0.017891541,2007,2007-2011,SBERT MiniLM
-0.5043668,-0.13193505,2007,2007-2011,SBERT MiniLM
-0.44085786,0.122207604,2007,2007-2011,SBERT MiniLM
-0.15830736,0.056997113,2007,2007-2011,SBERT MiniLM
-0.20740476,0.0665366,2007,2007-2011,SBERT MiniLM
-0.24892205,-0.08816734,2007,2007-2011,SBERT MiniLM
-0.19062936,0.052849285,2007,2007-2011,SBERT MiniLM
-0.36424857,-0.018103965,2007,2007-2011,SBERT MiniLM
-0.2702374,-0.1331821,2007,2007-2011,SBERT MiniLM
-0.10938811,-0.29575628,2007,2007-2011,SBERT MiniLM
0.093900815,-0.3744306,2007,2007-2011,SBERT MiniLM
-0.25633648,-0.3295706,2007,2007-2011,SBERT MiniLM
-0.18141942,-0.2650537,2007,2007-2011,SBERT MiniLM
-0.23874328,0.10539987,2007,2007-2011,SBERT MiniLM
0.22301619,-0.3903986,2007,2007-2011,SBERT MiniLM
-0.46614915,0.014572687,2007,2007-2011,SBERT MiniLM
0.28092724,-0.3918472,2007,2007-2011,SBERT MiniLM
0.04522094,-0.43197444,2007,2007-2011,SBERT MiniLM
-0.18592654,0.23718348,2007,2007-2011,SBERT MiniLM
-0.18387607,0.018659309,2007,2007-2011,SBERT MiniLM
-0.2292107,0.18468755,2007,2007-2011,SBERT MiniLM
-0.40755612,0.0048455074,2007,2007-2011,SBERT MiniLM
-0.15743867,-0.27801883,2007,2007-2011,SBERT MiniLM
-0.5023797,-0.031080924,2007,2007-2011,SBERT MiniLM
