x,y,year,period,representation
-6.5392,-1.0936317,2007,2007-2011,SBERT Specter
-8.031822,2.9132524,2007,2007-2011,SBERT Specter
-3.7166834,1.5256277,2007,2007-2011,SBERT Specter
-4.311264,0.6310195,2007,2007-2011,SBERT Specter
-6.724889,3.4751549,2007,2007-2011,SBERT Specter
-2.871339,-4.260763,2007,2007-2011,SBERT Specter
1.9041364,3.571599,2007,2007-2011,SBERT Specter
-6.1090956,-2.2945728,2007,2007-2011,SBERT Specter
-4.7912316,-1.501855,2007,2007-2011,SBERT Specter
-2.4510698,-3.1103168,2007,2007-2011,SBERT Specter
-6.3011026,4.5158525,2007,2007-2011,SBERT Specter
-5.4869967,1.8216497,2007,2007-2011,SBERT Specter
-4.519562,-1.432825,2007,2007-2011,SBERT Specter
-6.887806,-0.44374576,2007,2007-2011,SBERT Specter
-1.2746542,0.33461356,2007,2007-2011,SBERT Specter
-5.9810934,-1.2596188,2007,2007-2011,SBERT Specter
-5.4882784,-2.4976416,2007,2007-2011,SBERT Specter
-3.8128915,-2.2277193,2007,2007-2011,SBERT Specter
-3.0866191,-4.689938,2007,2007-2011,SBERT Specter
-6.0555058,-0.38228655,2007,2007-2011,SBERT Specter
-4.6471925,-2.8742156,2007,2007-2011,SBERT Specter
-3.8869865,0.87476456,2007,2007-2011,SBERT Specter
-5.8089533,0.48326898,2007,2007-2011,SBERT Specter
-3.278522,3.8448386,2007,2007-2011,SBERT Specter
-0.03184545,5.2730227,2007,2007-2011,SBERT Specter
-5.1644716,4.434074,2007,2007-2011,SBERT Specter
-2.1806364,2.372365,2007,2007-2011,SBERT Specter
-4.681362,-1.1122732,2007,2007-2011,SBERT Specter
1.9902701,4.1626687,2007,2007-2011,SBERT Specter
-6.9580994,-0.776991,2007,2007-2011,SBERT Specter
3.8123672,4.0258946,2007,2007-2011,SBERT Specter
0.06881678,4.991372,2007,2007-2011,SBERT Specter
-5.2999005,-0.9453045,2007,2007-2011,SBERT Specter
-2.6467843,-2.1586776,2007,2007-2011,SBERT Specter
-5.256045,-1.8431797,2007,2007-2011,SBERT Specter
-4.904583,0.66984797,2007,2007-2011,SBERT Specter
-0.16507936,1.8530575,2007,2007-2011,SBERT Specter
-4.3324213,0.32519686,2007,2007-2011,SBERT Specter
-5.238307,-0.4095041,2007,2007-2011,SBERT Specter
-5.8935432,-0.6087961,2007,2007-2011,SBERT Specter
-6.3213015,6.0356035,2007,2007-2011,SBERT Specter
-5.366209,3.9370804,2007,2007-2011,SBERT Specter
-4.663131,6.326719,2007,2007-2011,SBERT Specter
-3.631991,1.0662367,2007,2007-2011,SBERT Specter
3.6290686,-0.1252417,2007,2007-2011,SBERT Specter
-7.764447,0.68068445,2007,2007-2011,SBERT Specter
-7.5276613,1.0700735,2007,2007-2011,SBERT Specter
-6.725334,-0.557016,2007,2007-2011,SBERT Specter
-0.18778408,5.264158,2007,2007-2011,SBERT Specter
-4.543927,-0.950569,2007,2007-2011,SBERT Specter
-1.9841295,1.9682628,2007,2007-2011,SBERT Specter
-3.8043225,5.209425,2007,2007-2011,SBERT Specter
-3.5834973,-4.16743,2007,2007-2011,SBERT Specter
-3.826716,-1.4598144,2007,2007-2011,SBERT Specter
-3.8201387,4.1388273,2007,2007-2011,SBERT Specter
3.540149,8.058357,2007,2007-2011,SBERT Specter
-5.3081255,4.2790456,2007,2007-2011,SBERT Specter
-6.408843,1.2312849,2007,2007-2011,SBERT Specter
-0.04905677,4.1590557,2007,2007-2011,SBERT Specter
1.9224448,0.6971297,2007,2007-2011,SBERT Specter
4.276064,-2.7946997,2007,2007-2011,SBERT Specter
4.7238646,-1.6891688,2007,2007-2011,SBERT Specter
-4.9186974,0.92177975,2007,2007-2011,SBERT Specter
-1.8298035,5.6142545,2007,2007-2011,SBERT Specter
4.2551346,5.4015207,2007,2007-2011,SBERT Specter
-3.8582807,5.893427,2007,2007-2011,SBERT Specter
2.2142599,4.7549634,2007,2007-2011,SBERT Specter
2.7005527,2.365466,2007,2007-2011,SBERT Specter
3.628979,5.9318347,2007,2007-2011,SBERT Specter
